Price,Nifty_Close,SP500_Close,Nifty_pct_change,SP500_pct_change,Nifty_up,SP500_up
Ticker,^NSEI,^GSPC,,,,
Date,,,,,,
2007-09-19,4732.35009765625,1529.030029296875,0.04094626156931791,0.02920800742879237,1,1
2007-09-20,4747.5498046875,1518.75,0.0032118728998469237,0.0060864071258255326,1,1
2007-09-21,4837.5498046875,1525.75,0.018957147097464544,-0.00672323571146749,1,0
2007-09-24,4932.2001953125,1517.72998046875,0.01956577078199495,0.004609053497942384,1,1
2007-09-25,4938.85009765625,1517.2099609375,0.0013482628604715163,-0.0052564440643945165,1,0
2007-09-26,4940.5,1525.4200439453125,0.0003340660905122306,-0.00034262980763510864,1,0
2007-09-27,5000.5498046875,1531.3800048828125,0.012154600685659434,0.005411303128236344,1,1
2007-09-28,5021.35009765625,1526.75,0.004159601200102392,0.003907094941590916,1,1
2007-10-01,5068.9501953125,1547.0400390625,0.00947954170303067,-0.0030234199663373706,1,0
2007-10-03,5210.7998046875,1539.5899658203125,0.027984021130484704,0.013289693179957318,1,1
2007-10-04,5208.64990234375,1542.8399658203125,-0.000412585864806414,-0.004815695168886691,0,0
2007-10-05,5185.85009765625,1557.5899658203125,-0.004377296442450662,0.002110951663853111,0,1
2007-10-08,5085.10009765625,1552.5799560546875,-0.019427865847015946,0.009560291622441541,0,1
2007-10-09,5327.25,1565.1500244140625,0.0476194957215017,-0.003216513893620543,1,0
2007-10-10,5441.4501953125,1562.469970703125,0.021436988185743022,0.008096245420633474,1,1
2007-10-11,5524.85009765625,1554.4100341796875,0.015326778588471646,-0.00171233023616435,1,0
2007-10-12,5428.25,1561.800048828125,-0.017484654958734525,-0.005158458514124553,0,0
2007-10-15,5670.39990234375,1548.7099609375,0.04460920229240539,0.004754224745041169,1,1
2007-10-16,5668.0498046875,1538.530029296875,-0.0004144500734910572,-0.00838141086014621,0,0
2007-10-17,5559.2998046875,1541.239990234375,-0.019186493370270563,-0.006573168570868315,0,0
2007-10-18,5351.0,1540.0799560546875,-0.03746871224895365,0.0017613961937021916,0,1
2007-10-19,5215.2998046875,1500.6300048828125,-0.02535978234208558,-0.0007526629123547623,0,0
2007-10-22,5184.0,1506.3299560546875,-0.006001535071745612,-0.025615521464831148,0,0
2007-10-23,5473.7001953125,1519.5899658203125,0.05588352533034335,0.003798372119262039,1,1
2007-10-24,5496.14990234375,1515.8800048828125,0.004101376807315038,0.008802858704579641,1,1
2007-10-25,5568.9501953125,1514.4000244140625,0.013245689120980009,-0.0024414223711310967,1,0
2007-10-26,5702.2998046875,1535.280029296875,0.023945196975768024,-0.0009763176926820272,1,0
2007-10-29,5905.89990234375,1540.97998046875,0.035704909357604064,0.013787641670760742,1,1
2007-10-30,5868.75,1531.02001953125,-0.006290303418282961,0.0037126459428287184,0,1
2007-10-31,5900.64990234375,1549.3800048828125,0.005435553115015868,-0.006463394115263088,1,0
2007-11-01,5866.4501953125,1508.43994140625,-0.005795922075916726,0.011991995609034412,0,1
2007-11-02,5932.39990234375,1509.6500244140625,0.011241842142279967,-0.026423513500588247,1,0
2007-11-05,5847.2998046875,1502.1700439453125,-0.014344969836343813,0.0008022082779672868,0,1
2007-11-06,5786.5,1520.27001953125,-0.010397928397439027,-0.004954777827830159,0,0
