Date,Adj Close,Close,High,Low,Open,Volume,RBI Repo Rate,NiftyPctChange,SnpYesterdayPctChange
2013-02-22,5850.2998046875,5850.2998046875,5873.7998046875,5835.7998046875,5837.9501953125,157000,6.8,1,0.0
2013-02-25,5854.75,5854.75,5878.39990234375,5825.0,5870.5498046875,125100,6.8,0,1.0
2013-02-26,5761.35009765625,5761.35009765625,5838.85009765625,5748.60009765625,5838.2998046875,157400,6.8,0,0.0
2013-02-27,5796.89990234375,5796.89990234375,5818.2001953125,5749.7001953125,5784.89990234375,175200,6.8,1,1.0
2013-02-28,5693.0498046875,5693.0498046875,5849.89990234375,5671.89990234375,5834.35009765625,334900,6.8,0,1.0
2013-03-01,5719.7001953125,5719.7001953125,5739.4501953125,5679.89990234375,5702.4501953125,174500,6.8,1,0.0
2013-03-04,5698.5,5698.5,5712.0,5663.60009765625,5704.7001953125,144900,6.8,0,1.0
2013-03-05,5784.25,5784.25,5790.10009765625,5722.39990234375,5722.4501953125,154400,6.8,1,1.0
2013-03-06,5818.60009765625,5818.60009765625,5828.7001953125,5795.0498046875,5816.39990234375,156900,6.8,1,1.0
2013-03-07,5863.2998046875,5863.2998046875,5878.0,5801.2998046875,5801.2998046875,134700,6.8,1,1.0
2013-03-08,5945.7001953125,5945.7001953125,5952.85009765625,5883.0,5883.64990234375,150800,6.8,1,1.0
2013-03-11,5942.35009765625,5942.35009765625,5971.2001953125,5930.35009765625,5946.10009765625,125400,6.8,0,1.0
2013-03-12,5914.10009765625,5914.10009765625,5952.0,5893.64990234375,5944.60009765625,115900,6.8,0,1.0
2013-03-13,5851.2001953125,5851.2001953125,5893.85009765625,5842.25,5884.7998046875,116700,6.8,0,0.0
2013-03-14,5908.9501953125,5908.9501953125,5920.14990234375,5791.75,5845.9501953125,149000,6.8,1,1.0
2013-03-15,5872.60009765625,5872.60009765625,5945.64990234375,5861.0,5914.89990234375,152200,6.8,0,1.0
2013-03-18,5835.25,5835.25,5850.2001953125,5814.35009765625,5816.75,102700,6.8,1,0.0
2013-03-19,5745.9501953125,5745.9501953125,5863.60009765625,5724.2998046875,5859.5,182300,6.8,0,0.0
2013-03-20,5694.39990234375,5694.39990234375,5745.2998046875,5682.2998046875,5740.5498046875,187600,6.8,0,0.0
2013-03-21,5658.75,5658.75,5757.75,5647.9501953125,5705.89990234375,179200,6.8,0,1.0
2013-03-22,5651.35009765625,5651.35009765625,5691.4501953125,5631.7998046875,5659.7998046875,165300,6.8,0,0.0
2013-03-25,5633.85009765625,5633.85009765625,5718.39990234375,5624.39990234375,5707.2998046875,150400,6.8,0,1.0
2013-03-26,5641.60009765625,5641.60009765625,5655.2998046875,5612.0498046875,5613.75,126500,6.8,1,0.0
2013-03-28,5682.5498046875,5682.5498046875,5692.9501953125,5604.85009765625,5647.75,209700,6.8,1,0.0
2013-04-01,5704.39990234375,5704.39990234375,5720.9501953125,5675.89990234375,5697.35009765625,97800,6.8,1,1.0
2013-04-02,5748.10009765625,5748.10009765625,5754.60009765625,5687.14990234375,5701.7001953125,106400,6.8,1,0.0
2013-04-03,5672.89990234375,5672.89990234375,5744.9501953125,5650.10009765625,5740.2001953125,140700,6.8,0,1.0
2013-04-04,5574.75,5574.75,5644.4501953125,5565.64990234375,5640.64990234375,134600,6.8,0,0.0
2013-04-05,5553.25,5553.25,5577.2998046875,5534.7001953125,5568.10009765625,137500,6.8,0,1.0
2013-04-08,5542.9501953125,5542.9501953125,5569.2001953125,5537.0498046875,5550.5,97000,6.8,0,0.0
2013-04-09,5495.10009765625,5495.10009765625,5603.0498046875,5487.0,5568.75,138200,6.8,0,1.0
2013-04-10,5558.7001953125,5558.7001953125,5569.25,5477.2001953125,5536.25,128600,6.8,1,1.0
2013-04-11,5594.0,5594.0,5610.64990234375,5542.85009765625,5601.64990234375,146800,6.8,0,1.0
2013-04-12,5528.5498046875,5528.5498046875,5544.5,5494.89990234375,5520.7001953125,127300,6.8,1,1.0
2013-04-15,5568.39990234375,5568.39990234375,5592.85009765625,5500.2998046875,5508.5,142900,6.8,1,0.0
2013-04-16,5688.9501953125,5688.9501953125,5699.25,5555.85009765625,5562.4501953125,142700,6.8,1,0.0
2013-04-17,5688.7001953125,5688.7001953125,5732.14990234375,5669.0,5708.64990234375,154600,6.8,0,1.0
2013-04-18,5783.10009765625,5783.10009765625,5794.35009765625,5681.85009765625,5682.7001953125,149900,6.8,1,0.0
2013-04-22,5834.39990234375,5834.39990234375,5844.85009765625,5789.7998046875,5789.85009765625,135100,6.8,1,1.0
2013-04-23,5836.89990234375,5836.89990234375,5844.2998046875,5791.5498046875,5843.10009765625,132200,6.8,0,1.0
2013-04-25,5916.2998046875,5916.2998046875,5924.60009765625,5853.2998046875,5856.10009765625,199600,6.8,1,1.0
2013-04-26,5871.4501953125,5871.4501953125,5907.0498046875,5860.5,5899.75,141300,6.8,0,1.0
2013-04-29,5904.10009765625,5904.10009765625,5918.64990234375,5868.7998046875,5877.60009765625,118900,6.8,1,0.0
2013-04-30,5930.2001953125,5930.2001953125,5962.2998046875,5867.7998046875,5932.60009765625,153200,6.8,0,1.0
2013-05-02,5999.35009765625,5999.35009765625,6019.4501953125,5910.9501953125,5911.39990234375,162400,6.8,1,0.0
2013-05-03,5944.0,5944.0,6000.2998046875,5930.14990234375,5993.5,145800,7.3,0,1.0
2013-05-06,5971.0498046875,5971.0498046875,5976.5,5928.4501953125,5944.89990234375,110200,7.3,1,1.0
2013-05-07,6043.5498046875,6043.5498046875,6050.5,5982.9501953125,5983.4501953125,136400,7.3,1,1.0
2013-05-08,6069.2998046875,6069.2998046875,6083.5498046875,6024.9501953125,6064.14990234375,122300,7.3,1,1.0
2013-05-09,6050.14990234375,6050.14990234375,6084.7001953125,6040.4501953125,6078.35009765625,110000,7.3,0,1.0
2013-05-10,6094.75,6094.75,6105.2998046875,6045.60009765625,6046.25,111400,7.3,1,0.0
2013-05-13,5980.4501953125,5980.4501953125,6104.9501953125,5972.89990234375,6098.2001953125,107900,7.3,0,1.0
2013-05-14,5995.39990234375,5995.39990234375,6026.2001953125,5970.0498046875,5989.7001953125,119300,7.3,1,1.0
2013-05-15,6146.75,6146.75,6157.10009765625,6018.85009765625,6018.85009765625,153900,7.3,1,1.0
2013-05-16,6169.89990234375,6169.89990234375,6187.2998046875,6128.25,6128.25,158600,7.3,1,1.0
2013-05-17,6187.2998046875,6187.2998046875,6199.9501953125,6146.14990234375,6172.9501953125,147300,7.3,1,0.0
2013-05-20,6156.89990234375,6156.89990234375,6229.4501953125,6146.0498046875,6198.0,122300,7.3,0,1.0
2013-05-21,6114.10009765625,6114.10009765625,6180.25,6102.35009765625,6152.35009765625,130600,7.3,0,1.0
2013-05-22,6094.5,6094.5,6147.60009765625,6074.4501953125,6127.0498046875,133800,7.3,0,1.0
2013-05-23,5967.0498046875,5967.0498046875,6081.4501953125,5955.7001953125,6050.39990234375,198900,7.3,0,0.0
2013-05-24,5983.5498046875,5983.5498046875,6015.2998046875,5936.7998046875,6010.7001953125,161600,7.3,0,0.0
2013-05-28,6111.25,6111.25,6127.64990234375,6055.39990234375,6086.35009765625,139700,7.3,1,1.0
2013-05-29,6104.2998046875,6104.2998046875,6125.0498046875,6069.7998046875,6120.4501953125,120200,7.3,0,1.0
2013-05-30,6124.0498046875,6124.0498046875,6133.75,6072.14990234375,6072.14990234375,194100,7.3,1,0.0
2013-05-31,5985.9501953125,5985.9501953125,6106.25,5975.5498046875,6098.7001953125,175300,7.3,0,1.0
2013-06-03,5939.2998046875,5939.2998046875,6011.0,5916.35009765625,5997.35009765625,112100,7.3,0,0.0
2013-06-04,5919.4501953125,5919.4501953125,5981.60009765625,5910.25,5941.10009765625,114500,7.3,0,1.0
2013-06-05,5923.85009765625,5923.85009765625,5935.2001953125,5883.7001953125,5908.2998046875,110200,7.3,1,0.0
2013-06-06,5921.39990234375,5921.39990234375,5956.5498046875,5869.5,5895.0,114200,7.3,1,0.0
2013-06-07,5881.0,5881.0,5972.7001953125,5871.2998046875,5900.0498046875,118300,7.3,0,1.0
2013-06-10,5878.0,5878.0,5931.64990234375,5857.39990234375,5907.89990234375,100100,7.3,0,1.0
2013-06-11,5788.7998046875,5788.7998046875,5868.0498046875,5780.35009765625,5848.75,180900,7.3,0,0.0
2013-06-12,5760.2001953125,5760.2001953125,5792.89990234375,5738.60009765625,5771.75,140400,7.3,0,0.0
2013-06-13,5699.10009765625,5699.10009765625,5729.85009765625,5683.10009765625,5709.35009765625,142000,7.3,0,0.0
2013-06-14,5808.39990234375,5808.39990234375,5819.39990234375,5739.39990234375,5748.9501953125,124400,7.3,1,1.0
2013-06-17,5850.0498046875,5850.0498046875,5854.89990234375,5770.25,5820.39990234375,107200,7.3,1,0.0
2013-06-18,5813.60009765625,5813.60009765625,5863.39990234375,5804.2998046875,5841.89990234375,117500,7.3,0,1.0
2013-06-19,5822.25,5822.25,5828.39990234375,5777.89990234375,5805.75,115500,7.3,1,1.0
2013-06-20,5655.89990234375,5655.89990234375,5755.0,5645.64990234375,5754.14990234375,198400,7.3,0,0.0
2013-06-21,5667.64990234375,5667.64990234375,5686.14990234375,5616.85009765625,5639.89990234375,182400,7.3,1,0.0
2013-06-24,5590.25,5590.25,5640.0,5566.25,5638.0498046875,193500,7.3,0,1.0
2013-06-25,5609.10009765625,5609.10009765625,5666.25,5570.25,5606.9501953125,196600,7.3,1,0.0
2013-06-26,5588.7001953125,5588.7001953125,5635.25,5579.35009765625,5627.9501953125,160100,7.3,0,1.0
2013-06-27,5682.35009765625,5682.35009765625,5699.35009765625,5630.9501953125,5647.9501953125,239000,7.3,1,1.0
2013-06-28,5842.2001953125,5842.2001953125,5852.9501953125,5749.5,5749.5,214400,7.3,1,1.0
2013-07-01,5898.85009765625,5898.85009765625,5904.35009765625,5822.2001953125,5834.10009765625,144800,7.3,1,0.0
2013-07-02,5857.5498046875,5857.5498046875,5898.7998046875,5852.2998046875,5885.5,145700,7.3,0,1.0
2013-07-03,5770.89990234375,5770.89990234375,5815.0,5760.39990234375,5811.9501953125,160500,7.3,0,0.0
2013-07-05,5867.89990234375,5867.89990234375,5900.4501953125,5858.4501953125,5889.9501953125,123600,7.3,0,1.0
2013-07-08,5811.5498046875,5811.5498046875,5833.85009765625,5775.5498046875,5833.14990234375,127600,7.3,0,1.0
2013-07-09,5859.0,5859.0,5864.9501953125,5834.60009765625,5834.60009765625,110400,7.3,1,1.0
2013-07-10,5816.7001953125,5816.7001953125,5879.35009765625,5802.85009765625,5869.89990234375,117500,7.3,0,1.0
2013-07-11,5935.10009765625,5935.10009765625,5948.85009765625,5887.9501953125,5894.5,120200,7.3,1,1.0
2013-07-12,6009.0,6009.0,6019.0,5951.14990234375,6000.5,127700,7.3,1,1.0
2013-07-15,6030.7998046875,6030.7998046875,6038.2001953125,5980.9501953125,5991.2001953125,116300,7.3,1,1.0
2013-07-16,5955.25,5955.25,5966.0498046875,5910.9501953125,5930.7998046875,151200,7.3,1,1.0
2013-07-17,5973.2998046875,5973.2998046875,5989.7998046875,5926.75,5972.25,191500,7.3,1,0.0
2013-07-18,6038.0498046875,6038.0498046875,6051.10009765625,5974.5498046875,5984.7001953125,171700,7.3,1,1.0
2013-07-19,6029.2001953125,6029.2001953125,6066.85009765625,6020.25,6057.2001953125,163300,7.3,0,1.0
2013-07-22,6031.7998046875,6031.7998046875,6064.14990234375,6004.25,6009.75,115200,7.3,1,1.0
2013-07-23,6077.7998046875,6077.7998046875,6093.35009765625,6061.2998046875,6064.2998046875,126500,7.3,1,1.0
2013-07-24,5990.5,5990.5,6047.25,5962.60009765625,6032.2001953125,151900,7.3,0,0.0
2013-07-25,5907.5,5907.5,5990.64990234375,5896.39990234375,5970.39990234375,237100,7.3,0,0.0
2013-07-26,5886.2001953125,5886.2001953125,5944.5,5869.5,5937.9501953125,174500,7.3,0,1.0
2013-07-29,5831.64990234375,5831.64990234375,5886.0,5825.7998046875,5869.9501953125,173400,7.3,0,1.0
2013-07-30,5755.0498046875,5755.0498046875,5861.2998046875,5747.60009765625,5836.0498046875,181500,7.3,0,0.0
2013-07-31,5742.0,5742.0,5752.10009765625,5675.75,5738.35009765625,235500,7.3,1,0.0
2013-08-01,5727.85009765625,5727.85009765625,5808.5,5676.85009765625,5776.89990234375,216800,7.3,0,0.0
2013-08-02,5677.89990234375,5677.89990234375,5761.85009765625,5649.0,5750.0498046875,222500,7.3,0,1.0
2013-08-05,5685.39990234375,5685.39990234375,5721.0,5661.5,5682.39990234375,197200,7.3,1,1.0
2013-08-06,5542.25,5542.25,5664.89990234375,5521.7998046875,5664.89990234375,216200,7.3,0,0.0
2013-08-07,5519.10009765625,5519.10009765625,5561.4501953125,5486.85009765625,5549.2998046875,245000,7.3,0,0.0
2013-08-08,5565.64990234375,5565.64990234375,5577.60009765625,5510.0498046875,5510.0498046875,204900,7.3,1,0.0
2013-08-12,5612.39990234375,5612.39990234375,5644.10009765625,5557.10009765625,5606.7001953125,195700,7.3,1,0.0
2013-08-13,5699.2998046875,5699.2998046875,5704.75,5578.89990234375,5600.25,223000,7.3,1,1.0
2013-08-14,5742.2998046875,5742.2998046875,5754.5498046875,5690.2001953125,5715.39990234375,223700,7.3,1,1.0
2013-08-16,5507.85009765625,5507.85009765625,5716.60009765625,5496.0498046875,5705.4501953125,248100,7.3,0,0.0
2013-08-19,5414.75,5414.75,5499.64990234375,5360.64990234375,5497.5498046875,219700,7.3,0,0.0
2013-08-20,5401.4501953125,5401.4501953125,5417.7998046875,5306.35009765625,5353.4501953125,261100,7.3,1,0.0
2013-08-21,5302.5498046875,5302.5498046875,5504.10009765625,5268.4501953125,5494.4501953125,255000,7.3,0,1.0
2013-08-22,5408.4501953125,5408.4501953125,5418.9501953125,5254.0498046875,5282.7998046875,284500,7.3,1,0.0
2013-08-23,5471.75,5471.75,5478.7998046875,5377.7998046875,5428.75,251500,7.3,1,1.0
2013-08-26,5476.5,5476.5,5528.7001953125,5454.4501953125,5499.39990234375,242000,7.3,0,1.0
2013-08-27,5287.4501953125,5287.4501953125,5427.39990234375,5274.25,5426.5,306000,7.3,0,0.0
2013-08-28,5285.0,5285.0,5317.7001953125,5118.85009765625,5233.4501953125,336000,7.3,1,0.0
2013-08-29,5409.0498046875,5409.0498046875,5428.89990234375,5303.0,5316.5,326500,7.3,1,1.0
2013-08-30,5471.7998046875,5471.7998046875,5493.2998046875,5360.2001953125,5407.4501953125,336400,7.3,1,1.0
2013-09-03,5341.4501953125,5341.4501953125,5580.9501953125,5323.75,5574.7001953125,250300,7.3,0,0.0
2013-09-04,5448.10009765625,5448.10009765625,5460.25,5318.89990234375,5358.64990234375,237200,7.3,1,1.0
2013-09-05,5592.9501953125,5592.9501953125,5625.75,5552.7001953125,5553.75,274900,7.3,1,1.0
2013-09-06,5680.39990234375,5680.39990234375,5688.60009765625,5566.14990234375,5617.4501953125,253000,7.3,1,1.0
2013-09-10,5896.75,5896.75,5904.85009765625,5738.2001953125,5738.5,275200,7.3,1,1.0
2013-09-11,5913.14990234375,5913.14990234375,5924.35009765625,5832.7001953125,5887.25,265000,7.3,1,1.0
2013-09-12,5850.7001953125,5850.7001953125,5932.0,5815.7998046875,5931.14990234375,273000,7.3,0,1.0
2013-09-13,5850.60009765625,5850.60009765625,5884.2998046875,5822.89990234375,5828.0,190800,7.3,1,0.0
2013-09-16,5840.5498046875,5840.5498046875,5957.25,5798.14990234375,5930.2998046875,219500,7.3,0,1.0
2013-09-17,5850.2001953125,5850.2001953125,5857.7998046875,5804.89990234375,5824.2001953125,157900,7.3,1,1.0
2013-09-18,5899.4501953125,5899.4501953125,5916.89990234375,5840.2001953125,5872.75,153600,7.3,1,1.0
2013-09-19,6115.5498046875,6115.5498046875,6142.5,6040.14990234375,6044.14990234375,287200,7.3,1,1.0
2013-09-20,6012.10009765625,6012.10009765625,6130.9501953125,5932.85009765625,6104.5498046875,318600,7.5,0,0.0
2013-09-23,5889.75,5889.75,5989.39990234375,5871.39990234375,5945.7998046875,188300,7.5,0,0.0
2013-09-24,5892.4501953125,5892.4501953125,5938.39990234375,5854.5498046875,5855.0,187600,7.5,1,0.0
2013-09-25,5873.85009765625,5873.85009765625,5910.5498046875,5811.10009765625,5901.5498046875,200200,7.5,0,0.0
2013-09-26,5882.25,5882.25,5917.64990234375,5864.10009765625,5872.7998046875,220600,7.5,1,0.0
2013-09-27,5833.2001953125,5833.2001953125,5909.2001953125,5819.2998046875,5905.5498046875,163100,7.5,0,1.0
